step,steer,drift,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,q_w,q_x,q_y,q_z,drift_input,slip,trigger,trigger_timer,linger_timer
78,1,1,0.0031294378,-7.70028543,1.34725751e-05,0.17031768,-19.0088234,0.000579094398,-2.63217399e-13,-0.178630009,0.993930757,0.999295712,4.84377742e-05,-0.00399919087,0.037396159,1,0,0,0,0.110000066
79,1,1,0.0040552849,-7.79526472,1.6965987e-05,0.185169399,-18.9958172,0.00069868227,2.49561602e-13,-0.190909013,1.02808237,0.999194443,5.60070148e-05,-0.00447623711,0.039964404,1,0,0,0,0.105000064
80,1,1,0.00505743455,-7.8901782,2.11475108e-05,0.200429946,-18.9827137,0.000836304855,3.34519738e-13,-0.203523353,1.06163359,0.999082744,6.44607208e-05,-0.00498476764,0.0426161774,1,0,0,0,0.100000061
81,1,1,0.00613799505,-7.98502588,2.61169971e-05,0.216112062,-18.9695053,0.000993897323,7.42109282e-13,-0.216484219,1.09459388,0.99895978,7.3884039e-05,-0.00552563882,0.0453499593,1,0,0,0,0.0950000584
82,1,1,0.00729913497,-8.07980728,3.19847095e-05,0.232227966,-18.9561844,0.00117354235,1.01023118e-12,-0.229802459,1.12697279,0.998824954,8.43694434e-05,-0.00609973259,0.048164241,1,0,0,0,0.0900000557
83,1,1,0.00854308158,-8.17452145,3.88720946e-05,0.24878937,-18.9427414,0.00137747743,5.18121787e-13,-0.24348858,1.1587795,0.998677552,9.6017051e-05,-0.00670795515,0.051057525,1,0,0,0,0.085000053
84,1,1,0.00987211894,-8.26916695,4.69126062e-05,0.26580748,-18.9291687,0.00160810258,6.70366106e-13,-0.257552743,1.19002318,0.998516977,0.000108935063,-0.00735124014,0.0540283583,1,0,0,0,0.0800000504
85,1,1,0.0112885833,-8.36374378,5.62525456e-05,0.283292949,-18.9154549,0.00186798768,-2.76542352e-13,-0.272004813,1.22071266,0.998342454,0.000123240025,-0.00803053938,0.057075277,1,0,0,0,0.0750000477
86,1,1,0.0127948634,-8.45825195,6.70519439e-05,0.301255971,-18.9015903,0.00215988024,1.0834596e-12,-0.286854267,1.25085688,0.998153329,0.000139057433,-0.00874682888,0.0601968579,1,0,0,0,0.070000045
87,1,1,0.0143933939,-8.55268955,7.94855077e-05,0.319706142,-18.8875656,0.00248671276,9.34879344e-14,-0.302110344,1.28046429,0.997948885,0.000156521841,-0.00950110704,0.063391678,1,0,0,0,0.0650000423
88,1,1,0.0160866566,-8.64705658,9.37435616e-05,0.338652581,-18.8733711,0.00285161077,-1.72855409e-13,-0.317781895,1.30954349,0.997728467,0.000175777415,-0.010294389,0.0666583404,1,0,0,0,0.0600000434
89,1,1,0.0178771764,-8.74135113,0.000110033063,0.358103842,-18.8589935,0.00325790048,5.40253497e-13,-0.333877504,1.33810282,0.997491181,0.000196978232,-0.0111277113,0.0699954554,1,0,0,0,0.0550000444
90,1,1,0.0197675154,-8.8355732,0.000128578642,0.37806794,-18.8444233,0.00370911625,5.40440089e-13,-0.350405425,1.3661505,0.997236431,0.000220288581,-0.0120021291,0.0734016597,1,0,0,0,0.0500000454
91,1,1,0.0217602775,-8.92972183,0.00014962368,0.398552358,-18.8296509,0.00420900853,5.4065205e-14,-0.367373586,1.3936944,0.996963441,0.000245883391,-0.0129187126,0.0768755898,1,0,0,0,0.0450000465
92,1,1,0.0238580965,-9.02379513,0.000173431443,0.419564009,-18.814661,0.00476155151,2.46214399e-12,-0.384789646,1.42074251,0.996671498,0.000273948535,-0.0138785494,0.0804159045,1,0,0,0,0.0400000475
93,1,1,0.0260636434,-9.11779213,0.000200286187,0.44110927,-18.7994442,0.00537095033,2.98698371e-12,-0.402660966,1.44730258,0.996359825,0.000304681249,-0.0148827452,0.0840212852,1,0,0,0,0.0350000486
94,1,1,0.0283796135,-9.21171188,0.000230494436,0.463193893,-18.783987,0.00604164973,5.49860244e-12,-0.42099458,1.47338223,0.996027648,0.000338290178,-0.015932411,0.0876903981,1,0,0,0,0.0300000496
95,1,1,0.0308087301,-9.30555344,0.000264386123,0.485823154,-18.7682781,0.00677834079,7.74695412e-12,-0.439797223,1.49898887,0.995674253,0.000374996162,-0.0170286801,0.0914219469,1,0,0,0,0.0250000507
96,1,1,0.0333537385,-9.39931488,0.000302315952,0.509001672,-18.7523041,0.00758596836,9.05550808e-12,-0.459075391,1.52412987,0.995298743,0.000415032177,-0.0181726944,0.0952146351,1,0,0,0,0.0200000517
97,1,1,0.0360174067,-9.49299526,0.000344664644,0.5327335,-18.7360516,0.008469739,1.10306885e-11,-0.478835285,1.54881239,0.994900465,0.000458643684,-0.0193656106,0.0990671888,1,0,0,0,0.0150000518
98,1,1,0.0388025157,-9.58659267,0.000391840294,0.557022095,-18.7195091,0.00943512842,1.24209558e-11,-0.499082774,1.57304335,0.994478464,0.000506088953,-0.0206085891,0.102978334,1,0,0,0,0.0100000519
99,1,1,0.0417118669,-9.68010616,0.000444279722,0.581870317,-18.7026615,0.0104878861,1.28747343e-11,-0.519823492,1.59682977,0.994032204,0.00055763952,-0.0219028052,0.106946796,1,0,0,0,0.00500005204
100,1,0,0.0447283238,-9.77353764,0.000501557894,0.603291571,-18.6863632,0.0114556309,1.61649912e-11,-0.53763032,1.59566092,0.993567348,0.000614005083,-0.0232408792,0.110910416,0,0,0,0,5.21540642e-08
101,1,0,0.0478548035,-9.86688614,0.000564119488,0.625295758,-18.6697655,0.0125123225,1.87968877e-11,-0.555954397,1.59449148,0.993084133,0.000675508578,-0.0246240553,0.11486914,0,0,0,0,0
102,1,0,0.0515534468,-9.96004295,0.000655608135,0.739728689,-18.6313114,0.0182977244,1.88569195e-11,-0.56912303,1.60012031,0.992580771,0.000740435324,-0.0260394979,0.118839778,0,0,0,0,0
103,1,0,0.0558268577,-10.0530014,0.000777883339,0.854681849,-18.5917797,0.0244550407,1.51593599e-11,-0.582370162,1.60506439,0.992057085,0.000808962039,-0.0274873395,0.122820467,0,0,0,0,0
104,1,0,0.0606774949,-10.1457577,0.000932860537,0.970127225,-18.5511608,0.0309954453,1.11749082e-11,-0.595693767,1.60937428,0.991512954,0.000881268759,-0.0289677344,0.126809567,0,0,0,0,0
105,1,0,0.0661076754,-10.2383051,0.00112251088,1.08603549,-18.5094471,0.0379300714,1.28514786e-11,-0.609091699,1.61309659,0.99094826,0.000957537268,-0.0304808132,0.130805537,0,0,0,0,0
106,1,0,0.0721195564,-10.3306379,0.00134886079,1.20237601,-18.4666309,0.0452699848,1.30222534e-11,-0.622561693,1.6162746,0.990363121,0.00103795051,-0.0320267007,0.134806901,0,0,0,0,0
107,1,0,0.0787151381,-10.4227514,0.0016139918,1.31911707,-18.4227047,0.0530261919,1.1084916e-11,-0.636101305,1.6189481,0.989757299,0.00112269318,-0.0336055122,0.138812304,0,0,0,0,0
